------------------------------------------------------------
Client connecting to 10.0.0.3, TCP port 5000 with pid 17648
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.1 port 44402 connected with 10.0.0.3 port 5000 (ct=125.67 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  11.5 MBytes  96.5 Mbits/sec  92/0          0       28K/94346 us  127.81
[  3] 1.0000-2.0000 sec  7.93 MBytes  66.5 Mbits/sec  65/0        315      987K/70375 us  118.09
[  3] 2.0000-3.0000 sec  6.15 MBytes  51.6 Mbits/sec  50/0        317      885K/99186 us  65.04
[  3] 3.0000-4.0000 sec  5.84 MBytes  49.0 Mbits/sec  47/0        480      845K/100882 us  60.71
[  3] 4.0000-5.0000 sec  6.21 MBytes  52.1 Mbits/sec  50/0        387      848K/90433 us  72.05
[  3] 5.0000-6.0000 sec  6.46 MBytes  54.2 Mbits/sec  53/0        224      820K/89962 us  75.33
[  3] 6.0000-7.0000 sec  4.91 MBytes  41.2 Mbits/sec  40/0        242      882K/99267 us  51.86
[  3] 7.0000-8.0000 sec  6.21 MBytes  52.1 Mbits/sec  51/0        542      831K/96255 us  67.70
[  3] 8.0000-9.0000 sec  6.15 MBytes  51.6 Mbits/sec  50/0        336      524K/90348 us  71.40
[  3] 9.0000-10.0000 sec  5.10 MBytes  42.7 Mbits/sec  41/0        281      865K/93740 us  57.00
[  3] 10.0000-11.0000 sec  5.47 MBytes  45.9 Mbits/sec  44/0        369        5K/96140 us  59.64
[  3] 11.0000-12.0000 sec  5.34 MBytes  44.8 Mbits/sec  44/0        108      749K/86378 us  64.87
[  3] 12.0000-13.0000 sec  4.60 MBytes  38.6 Mbits/sec  37/0        186      777K/95846 us  50.31
[  3] 13.0000-14.0000 sec  5.78 MBytes  48.5 Mbits/sec  47/0        332      780K/95734 us  63.30
[  3] 14.0000-15.0000 sec  5.28 MBytes  44.3 Mbits/sec  43/0        323      794K/95299 us  58.12
[  3] 15.0000-16.0000 sec  3.23 MBytes  27.1 Mbits/sec  26/0        296      791K/95501 us  35.48
[  3] 16.0000-17.0000 sec  6.34 MBytes  53.2 Mbits/sec  51/0        118      803K/96890 us  68.60
[  3] 17.0000-18.0000 sec  4.91 MBytes  41.2 Mbits/sec  40/0        280      845K/103575 us  49.70
[  3] 18.0000-19.0000 sec  6.21 MBytes  52.1 Mbits/sec  50/0        437      834K/94996 us  68.59
[  3] 19.0000-20.0000 sec  6.46 MBytes  54.2 Mbits/sec  53/0        325      808K/89570 us  75.66
[  3] 20.0000-21.0000 sec  5.97 MBytes  50.0 Mbits/sec  49/0        333      822K/93404 us  66.97
[  3] 21.0000-22.0000 sec  4.41 MBytes  37.0 Mbits/sec  36/0        193      817K/62785 us  73.69
[  3] 22.0000-23.0000 sec  5.53 MBytes  46.4 Mbits/sec  45/0        185      831K/95574 us  60.68
[  3] 23.0000-24.0000 sec  5.72 MBytes  48.0 Mbits/sec  47/0        393      814K/97250 us  61.64
[  3] 24.0000-25.0000 sec  5.22 MBytes  43.8 Mbits/sec  42/0        401      814K/100712 us  54.35
[  3] 25.0000-26.0000 sec  5.78 MBytes  48.5 Mbits/sec  47/0        391      800K/92935 us  65.21
[  3] 26.0000-27.0000 sec  6.09 MBytes  51.1 Mbits/sec  49/0        339      791K/97929 us  65.21
[  3] 27.0000-28.0000 sec  5.59 MBytes  46.9 Mbits/sec  45/0        368      789K/95672 us  61.30
[  3] 28.0000-29.0000 sec  5.65 MBytes  47.4 Mbits/sec  46/0        332      803K/92337 us  64.22
[  3] 29.0000-30.0000 sec  5.78 MBytes  48.5 Mbits/sec  47/0        326      817K/93714 us  64.66
[  3] 0.0000-30.3411 sec   176 MBytes  48.6 Mbits/sec  1427/0       9159       -1K/93234 us  65.18
