------------------------------------------------------------
Client connecting to 10.0.0.3, TCP port 5000 with pid 19574
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.1 port 44448 connected with 10.0.0.3 port 5000 (ct=126.11 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  11.9 MBytes  99.6 Mbits/sec  95/0          0       28K/99308 us  125.39
[  3] 1.0000-2.0000 sec  8.48 MBytes  71.2 Mbits/sec  69/0        351     1416K/113441 us  78.41
[  3] 2.0000-3.0000 sec  8.02 MBytes  67.2 Mbits/sec  65/0        215     1066K/70639 us  118.99
[  3] 3.0000-4.0000 sec  8.79 MBytes  73.7 Mbits/sec  71/0          0     1122K/80394 us  114.62
[  3] 4.0000-5.0000 sec  9.00 MBytes  75.5 Mbits/sec  72/0          4     1255K/76720 us  123.01
[  3] 5.0000-6.0000 sec  13.4 MBytes   112 Mbits/sec  107/0          8     1272K/76510 us  183.31
[  3] 6.0000-7.0000 sec  9.00 MBytes  75.5 Mbits/sec  72/0          0     1255K/89175 us  105.83
[  3] 7.0000-8.0000 sec  8.88 MBytes  74.4 Mbits/sec  71/0          0     1264K/96204 us  96.73
[  3] 8.0000-9.0000 sec  9.00 MBytes  75.5 Mbits/sec  72/0          5     1363K/86325 us  109.32
[  3] 9.0000-10.0000 sec  8.66 MBytes  72.7 Mbits/sec  70/0          0     1295K/99444 us  91.36
[  3] 10.0000-11.0000 sec  13.4 MBytes   112 Mbits/sec  107/0         25     1365K/104606 us  134.07
[  3] 11.0000-12.0000 sec  6.56 MBytes  55.0 Mbits/sec  53/0          6        5K/100662 us  68.34
[  3] 12.0000-13.0000 sec  9.00 MBytes  75.5 Mbits/sec  72/0          0     1281K/85816 us  109.97
[  3] 13.0000-14.0000 sec  9.00 MBytes  75.5 Mbits/sec  72/0          0     1295K/88386 us  106.77
[  3] 14.0000-15.0000 sec  8.88 MBytes  74.4 Mbits/sec  71/0          0     1298K/98928 us  94.07
[  3] 15.0000-16.0000 sec  13.5 MBytes   113 Mbits/sec  108/0          5     1300K/107840 us  131.27
[  3] 16.0000-17.0000 sec  8.88 MBytes  74.4 Mbits/sec  71/0          0     1337K/99209 us  93.80
[  3] 17.0000-18.0000 sec  9.00 MBytes  75.5 Mbits/sec  72/0         26     1388K/92198 us  102.36
[  3] 18.0000-19.0000 sec  13.4 MBytes   112 Mbits/sec  107/0          0     1343K/99588 us  140.83
[  3] 19.0000-20.0000 sec  9.00 MBytes  75.5 Mbits/sec  72/0          7     1340K/112769 us  83.69
[  3] 20.0000-21.0000 sec  8.88 MBytes  74.4 Mbits/sec  71/0          7     1363K/103610 us  89.82
[  3] 21.0000-22.0000 sec  8.92 MBytes  74.8 Mbits/sec  72/0          7     1405K/96739 us  96.68
[  3] 22.0000-23.0000 sec  11.4 MBytes  95.4 Mbits/sec  91/0          0     1357K/75266 us  158.47
[  3] 23.0000-24.0000 sec  9.00 MBytes  75.5 Mbits/sec  72/0          0     1300K/82938 us  113.79
[  3] 24.0000-25.0000 sec  8.88 MBytes  74.4 Mbits/sec  71/0          0     1300K/94737 us  98.23
[  3] 25.0000-26.0000 sec  9.00 MBytes  75.5 Mbits/sec  72/0          0     1295K/88947 us  106.10
[  3] 26.0000-27.0000 sec  8.88 MBytes  74.4 Mbits/sec  71/0          0     1306K/93383 us  99.66
[  3] 27.0000-28.0000 sec  13.6 MBytes   114 Mbits/sec  109/0          0     1309K/97375 us  146.72
[  3] 28.0000-29.0000 sec  9.00 MBytes  75.5 Mbits/sec  72/0          8     1380K/91479 us  103.16
[  3] 29.0000-30.0000 sec  8.88 MBytes  74.4 Mbits/sec  71/0          0     1334K/110340 us  84.34
[  3] 0.0000-30.0838 sec   292 MBytes  81.4 Mbits/sec  2341/0        674       -1K/93765 us  108.57
