------------------------------------------------------------
Client connecting to 10.0.0.4, TCP port 5001 with pid 159430
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.2 port 33466 connected with 10.0.0.4 port 5001 (ct=138.64 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  10.9 MBytes  91.5 Mbits/sec  88/0          0       28K/93232 us  122.73
[  3] 1.0000-2.0000 sec  4.41 MBytes  37.0 Mbits/sec  36/0          0      996K/204482 us  22.62
[  3] 2.0000-3.0000 sec  3.23 MBytes  27.1 Mbits/sec  27/0         32      531K/128646 us  26.34
[  3] 3.0000-4.0000 sec  3.23 MBytes  27.1 Mbits/sec  26/0         95      405K/106220 us  31.90
[  3] 4.0000-5.0000 sec  3.42 MBytes  28.7 Mbits/sec  28/0         35      619K/134193 us  26.71
[  3] 5.0000-6.0000 sec  2.92 MBytes  24.5 Mbits/sec  24/0         92       90K/62937 us  48.66
[  3] 6.0000-7.0000 sec  1.74 MBytes  14.6 Mbits/sec  14/0          3      527K/123542 us  14.77
[  3] 7.0000-8.0000 sec  3.73 MBytes  31.3 Mbits/sec  30/0         69      462K/124312 us  31.45
[  3] 8.0000-9.0000 sec  3.36 MBytes  28.1 Mbits/sec  28/0        116      419K/105601 us  33.32
[  3] 9.0000-10.0000 sec  3.36 MBytes  28.1 Mbits/sec  28/0        105      418K/105109 us  33.48
[  3] 10.0000-11.0000 sec  3.17 MBytes  26.6 Mbits/sec  26/0          0      436K/124476 us  26.70
[  3] 11.0000-12.0000 sec  3.17 MBytes  26.6 Mbits/sec  26/0          0      527K/94930 us  35.01
[  3] 12.0000-13.0000 sec  3.67 MBytes  30.8 Mbits/sec  30/0         78      468K/123549 us  31.12
[  3] 13.0000-14.0000 sec  3.36 MBytes  28.1 Mbits/sec  28/0         29      619K/107592 us  32.70
[  3] 14.0000-15.0000 sec  3.11 MBytes  26.1 Mbits/sec  25/0         83      414K/86319 us  37.74
[  3] 15.0000-16.0000 sec  3.23 MBytes  27.1 Mbits/sec  26/0          0      414K/89200 us  37.99
[  3] 16.0000-17.0000 sec  3.17 MBytes  26.6 Mbits/sec  26/0         52      456K/119699 us  27.76
[  3] 17.0000-18.0000 sec  3.17 MBytes  26.6 Mbits/sec  26/0         24      393K/97114 us  34.22
[  3] 18.0000-19.0000 sec  3.11 MBytes  26.1 Mbits/sec  26/0         22      588K/132470 us  24.59
[  3] 19.0000-20.0000 sec  2.86 MBytes  24.0 Mbits/sec  23/0         43      442K/99582 us  30.10
[  3] 20.0000-21.0000 sec  2.98 MBytes  25.0 Mbits/sec  25/0         47       89K/63866 us  48.97
[  3] 21.0000-22.0000 sec  3.23 MBytes  27.1 Mbits/sec  26/0         40      432K/120867 us  28.03
[  3] 22.0000-23.0000 sec  2.73 MBytes  22.9 Mbits/sec  23/0         37      417K/117846 us  24.33
[  3] 23.0000-24.0000 sec  3.48 MBytes  29.2 Mbits/sec  28/0         23      347K/74685 us  48.86
[  3] 24.0000-25.0000 sec  3.04 MBytes  25.5 Mbits/sec  25/0          0      347K/112318 us  28.43
[  3] 25.0000-26.0000 sec  2.42 MBytes  20.3 Mbits/sec  20/0          0      108K/99920 us  25.43
[  3] 26.0000-27.0000 sec  3.11 MBytes  26.1 Mbits/sec  25/0          0      347K/107435 us  30.33
[  3] 27.0000-28.0000 sec  2.92 MBytes  24.5 Mbits/sec  24/0          0      347K/116402 us  26.31
[  3] 28.0000-29.0000 sec  1.49 MBytes  12.5 Mbits/sec  12/0         12      346K/95575 us  16.36
[  3] 29.0000-30.0000 sec  2.98 MBytes  25.0 Mbits/sec  24/0          0      346K/112351 us  27.84
[  3] 0.0000-30.0380 sec   101 MBytes  28.1 Mbits/sec  823/0       1037       -1K/109482 us  32.11
