------------------------------------------------------------
Client connecting to 10.0.0.3, TCP port 5000 with pid 162498
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.1 port 46752 connected with 10.0.0.3 port 5000 (ct=139.36 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  3.62 MBytes  30.4 Mbits/sec  29/0          0      197K/107808 us  35.26
[  3] 1.0000-2.0000 sec  2.38 MBytes  19.9 Mbits/sec  19/0         45      330K/103803 us  23.99
[  3] 2.0000-3.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0         51      264K/99940 us  34.10
[  3] 3.0000-4.0000 sec  3.12 MBytes  26.2 Mbits/sec  25/0          0      231K/104396 us  31.39
[  3] 4.0000-5.0000 sec  2.50 MBytes  21.0 Mbits/sec  20/0          0      364K/84125 us  31.16
[  3] 5.0000-6.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0          0      364K/102048 us  33.39
[  3] 6.0000-7.0000 sec  2.38 MBytes  19.9 Mbits/sec  19/0          0      197K/101123 us  24.63
[  3] 7.0000-8.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0          0      397K/98302 us  34.67
[  3] 8.0000-9.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0          0      264K/89799 us  37.95
[  3] 9.0000-10.0000 sec  2.38 MBytes  19.9 Mbits/sec  19/0          0      364K/98723 us  25.23
[  3] 10.0000-11.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0          0      264K/99679 us  34.19
[  3] 11.0000-12.0000 sec  2.38 MBytes  19.9 Mbits/sec  19/0          0      330K/106057 us  23.48
[  3] 12.0000-13.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0          0      397K/104420 us  32.64
[  3] 13.0000-14.0000 sec  2.50 MBytes  21.0 Mbits/sec  20/0          0      231K/107647 us  24.35
[  3] 14.0000-15.0000 sec  3.12 MBytes  26.2 Mbits/sec  25/0          0      197K/109246 us  29.99
[  3] 15.0000-16.0000 sec  2.50 MBytes  21.0 Mbits/sec  20/0          0      197K/119689 us  21.90
[  3] 16.0000-17.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0          0      264K/113752 us  29.96
[  3] 17.0000-18.0000 sec  2.38 MBytes  19.9 Mbits/sec  19/0         27      264K/92472 us  26.93
[  3] 18.0000-19.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0          0      397K/93928 us  36.28
[  3] 19.0000-20.0000 sec  2.38 MBytes  19.9 Mbits/sec  19/0          0      264K/93799 us  26.55
[  3] 20.0000-21.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0          0      397K/101623 us  33.53
[  3] 21.0000-22.0000 sec  2.50 MBytes  21.0 Mbits/sec  20/0          0      397K/99998 us  26.21
[  3] 22.0000-23.0000 sec  3.12 MBytes  26.2 Mbits/sec  25/0          0      364K/107838 us  30.39
[  3] 23.0000-24.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0          1      364K/103247 us  33.01
[  3] 24.0000-25.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0          0      264K/103370 us  32.97
[  3] 25.0000-26.0000 sec  2.38 MBytes  19.9 Mbits/sec  19/0          0      231K/92167 us  27.02
[  3] 26.0000-27.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0          0      397K/93627 us  36.40
[  3] 27.0000-28.0000 sec  2.50 MBytes  21.0 Mbits/sec  20/0          0      197K/103927 us  25.22
[  3] 28.0000-29.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0          0      330K/100446 us  33.93
[  3] 29.0000-30.0000 sec  3.12 MBytes  26.2 Mbits/sec  25/0          0      364K/97770 us  33.52
[  3] 0.0000-30.1892 sec  87.5 MBytes  24.3 Mbits/sec  700/0        124       -1K/101158 us  30.04
