------------------------------------------------------------
Client connecting to 10.0.0.4, TCP port 5001 with pid 166356
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.2 port 33822 connected with 10.0.0.4 port 5001 (ct=125.71 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  4.12 MBytes  34.6 Mbits/sec  33/0          0       28K/95090 us  45.49
[  3] 1.0000-2.0000 sec  3.38 MBytes  28.3 Mbits/sec  27/0         42      263K/74906 us  47.25
[  3] 2.0000-3.0000 sec  3.50 MBytes  29.4 Mbits/sec  28/0          0      301K/84788 us  43.28
[  3] 3.0000-4.0000 sec  3.38 MBytes  28.3 Mbits/sec  27/0          0      323K/90010 us  39.32
[  3] 4.0000-5.0000 sec  3.38 MBytes  28.3 Mbits/sec  27/0          0      337K/93202 us  37.97
[  3] 5.0000-6.0000 sec  3.50 MBytes  29.4 Mbits/sec  28/0          0      342K/93482 us  39.26
[  3] 6.0000-7.0000 sec  3.38 MBytes  28.3 Mbits/sec  27/0          0      342K/94592 us  37.41
[  3] 7.0000-8.0000 sec  3.38 MBytes  28.3 Mbits/sec  27/0          0      342K/96501 us  36.67
[  3] 8.0000-9.0000 sec  4.12 MBytes  34.6 Mbits/sec  33/0          0      343K/85706 us  50.47
[  3] 9.0000-10.0000 sec  3.62 MBytes  30.4 Mbits/sec  29/0          0      353K/93992 us  40.44
[  3] 10.0000-11.0000 sec  3.75 MBytes  31.5 Mbits/sec  30/0          0      370K/98995 us  39.72
[  3] 11.0000-12.0000 sec  4.25 MBytes  35.7 Mbits/sec  34/0          0      401K/107165 us  41.58
[  3] 12.0000-13.0000 sec  3.50 MBytes  29.4 Mbits/sec  28/0          3      320K/83212 us  44.10
[  3] 13.0000-14.0000 sec  3.50 MBytes  29.4 Mbits/sec  28/0          0      364K/96283 us  38.12
[  3] 14.0000-15.0000 sec  3.50 MBytes  29.4 Mbits/sec  28/0          0      394K/103918 us  35.32
[  3] 15.0000-16.0000 sec  4.25 MBytes  35.7 Mbits/sec  34/0          0      411K/108517 us  41.07
[  3] 16.0000-17.0000 sec  3.50 MBytes  29.4 Mbits/sec  28/0          0      421K/101187 us  36.27
[  3] 17.0000-18.0000 sec  3.50 MBytes  29.4 Mbits/sec  28/0          0      422K/105593 us  34.76
[  3] 18.0000-19.0000 sec  3.50 MBytes  29.4 Mbits/sec  28/0          0      422K/108646 us  33.78
[  3] 19.0000-20.0000 sec  3.75 MBytes  31.5 Mbits/sec  30/0          3      295K/109273 us  35.98
[  3] 20.0000-21.0000 sec  3.62 MBytes  30.4 Mbits/sec  29/0          2      241K/97580 us  38.95
[  3] 21.0000-22.0000 sec  3.50 MBytes  29.4 Mbits/sec  28/0          0      270K/78141 us  46.97
[  3] 22.0000-23.0000 sec  3.50 MBytes  29.4 Mbits/sec  28/0          0      287K/85260 us  43.04
[  3] 23.0000-24.0000 sec  2.62 MBytes  22.0 Mbits/sec  21/0          0      294K/88834 us  30.98
[  3] 24.0000-25.0000 sec  3.50 MBytes  29.4 Mbits/sec  28/0          0      294K/89229 us  41.13
[  3] 25.0000-26.0000 sec  3.38 MBytes  28.3 Mbits/sec  27/0          0      294K/90951 us  38.91
[  3] 26.0000-27.0000 sec  2.62 MBytes  22.0 Mbits/sec  21/0          0      295K/89596 us  30.72
[  3] 27.0000-28.0000 sec  3.50 MBytes  29.4 Mbits/sec  28/0          0      302K/90972 us  40.34
[  3] 28.0000-29.0000 sec  3.50 MBytes  29.4 Mbits/sec  28/0          0      318K/95325 us  38.50
[  3] 29.0000-30.0000 sec  3.50 MBytes  29.4 Mbits/sec  28/0          0      345K/90723 us  40.45
[  3] 0.0000-30.0860 sec   106 MBytes  29.6 Mbits/sec  848/0         50       -1K/94055 us  39.28
