------------------------------------------------------------
Client connecting to 10.0.0.4, TCP port 5001 with pid 160391
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.2 port 33518 connected with 10.0.0.4 port 5001 (ct=142.66 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  4.62 MBytes  38.8 Mbits/sec  37/0          0       26K/104040 us  46.61
[  3] 1.0000-2.0000 sec  4.25 MBytes  35.7 Mbits/sec  34/0        131      258K/70410 us  63.29
[  3] 2.0000-3.0000 sec  3.12 MBytes  26.2 Mbits/sec  25/0          0      288K/75528 us  43.39
[  3] 3.0000-4.0000 sec  3.12 MBytes  26.2 Mbits/sec  25/0          0      299K/77326 us  42.38
[  3] 4.0000-5.0000 sec  3.00 MBytes  25.2 Mbits/sec  24/0          0      305K/96563 us  32.58
[  3] 5.0000-6.0000 sec  4.12 MBytes  34.6 Mbits/sec  33/0          6      223K/69388 us  62.34
[  3] 6.0000-7.0000 sec  3.12 MBytes  26.2 Mbits/sec  25/0          0      270K/86060 us  38.08
[  3] 7.0000-8.0000 sec  3.12 MBytes  26.2 Mbits/sec  25/0          0      291K/89833 us  36.48
[  3] 8.0000-9.0000 sec  3.00 MBytes  25.2 Mbits/sec  24/0          0      302K/92620 us  33.96
[  3] 9.0000-10.0000 sec  3.12 MBytes  26.2 Mbits/sec  25/0          6      229K/72973 us  44.90
[  3] 10.0000-11.0000 sec  3.12 MBytes  26.2 Mbits/sec  25/0          0      248K/79845 us  41.04
[  3] 11.0000-12.0000 sec  3.12 MBytes  26.2 Mbits/sec  25/0          0      255K/82482 us  39.73
[  3] 12.0000-13.0000 sec  3.12 MBytes  26.2 Mbits/sec  25/0          0      258K/83822 us  39.09
[  3] 13.0000-14.0000 sec  2.12 MBytes  17.8 Mbits/sec  17/0          0      258K/84209 us  26.46
[  3] 14.0000-15.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0          0      263K/84864 us  40.16
[  3] 15.0000-16.0000 sec  3.00 MBytes  25.2 Mbits/sec  24/0          0      271K/86544 us  36.35
[  3] 16.0000-17.0000 sec  4.12 MBytes  34.6 Mbits/sec  33/0          0      279K/63247 us  68.39
[  3] 17.0000-18.0000 sec  3.00 MBytes  25.2 Mbits/sec  24/0          0      301K/91263 us  34.47
[  3] 18.0000-19.0000 sec  3.50 MBytes  29.4 Mbits/sec  28/0          0      335K/96755 us  37.93
[  3] 19.0000-20.0000 sec  2.00 MBytes  16.8 Mbits/sec  16/0          8      274K/86573 us  24.22
[  3] 20.0000-21.0000 sec  4.12 MBytes  34.6 Mbits/sec  33/0          0      299K/91213 us  47.42
[  3] 21.0000-22.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0          0      329K/72648 us  46.91
[  3] 22.0000-23.0000 sec  3.00 MBytes  25.2 Mbits/sec  24/0          1      246K/71012 us  44.30
[  3] 23.0000-24.0000 sec  4.12 MBytes  34.6 Mbits/sec  33/0          0      267K/76797 us  56.32
[  3] 24.0000-25.0000 sec  3.12 MBytes  26.2 Mbits/sec  25/0          0      282K/81276 us  40.32
[  3] 25.0000-26.0000 sec  3.12 MBytes  26.2 Mbits/sec  25/0          0      285K/89015 us  36.81
[  3] 26.0000-27.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0          0      285K/89740 us  37.97
[  3] 27.0000-28.0000 sec  3.00 MBytes  25.2 Mbits/sec  24/0          0      285K/87041 us  36.14
[  3] 28.0000-29.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0          0      291K/89965 us  37.88
[  3] 29.0000-30.0000 sec  3.00 MBytes  25.2 Mbits/sec  24/0          0      299K/91838 us  34.25
[  3] 0.0000-30.1580 sec  98.2 MBytes  27.3 Mbits/sec  786/0        152       -1K/83829 us  40.75
