------------------------------------------------------------
Client connecting to 10.0.0.5, TCP port 5002 with pid 162144
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.4 port 40622 connected with 10.0.0.5 port 5002 (ct=125.08 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  8.12 MBytes  68.2 Mbits/sec  65/0          0      477K/103717 us  82.14
[  3] 1.0000-2.0000 sec  4.12 MBytes  34.6 Mbits/sec  33/0          0      615K/98045 us  44.12
[  3] 2.0000-3.0000 sec  5.50 MBytes  46.1 Mbits/sec  44/0         75      477K/117800 us  48.96
[  3] 3.0000-4.0000 sec  4.12 MBytes  34.6 Mbits/sec  33/0         33      682K/138361 us  31.26
[  3] 4.0000-5.0000 sec  4.12 MBytes  34.6 Mbits/sec  33/0        168      615K/113308 us  38.17
[  3] 5.0000-6.0000 sec  4.12 MBytes  34.6 Mbits/sec  33/0         64      340K/115863 us  37.33
[  3] 6.0000-7.0000 sec  4.25 MBytes  35.7 Mbits/sec  34/0         56      682K/116339 us  38.31
[  3] 7.0000-8.0000 sec  4.12 MBytes  34.6 Mbits/sec  33/0         30      545K/134266 us  32.21
[  3] 8.0000-9.0000 sec  5.50 MBytes  46.1 Mbits/sec  44/0         13      545K/123578 us  46.67
[  3] 9.0000-10.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0          0      682K/104036 us  32.76
[  3] 10.0000-11.0000 sec  6.75 MBytes  56.6 Mbits/sec  54/0         90      545K/131156 us  53.97
[  3] 11.0000-12.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0        180      340K/103514 us  32.92
[  3] 12.0000-13.0000 sec  5.38 MBytes  45.1 Mbits/sec  43/0          0      340K/108382 us  52.00
[  3] 13.0000-14.0000 sec  4.12 MBytes  34.6 Mbits/sec  33/0         45      682K/125708 us  34.41
[  3] 14.0000-15.0000 sec  4.25 MBytes  35.7 Mbits/sec  34/0        102      615K/127805 us  34.87
[  3] 15.0000-16.0000 sec  4.00 MBytes  33.6 Mbits/sec  32/0          0      545K/112771 us  37.19
[  3] 16.0000-17.0000 sec  4.50 MBytes  37.7 Mbits/sec  36/0          0      682K/127498 us  37.01
[  3] 17.0000-18.0000 sec  5.50 MBytes  46.1 Mbits/sec  44/0         90      682K/127051 us  45.39
[  3] 18.0000-19.0000 sec  4.12 MBytes  34.6 Mbits/sec  33/0         79      340K/104831 us  41.26
[  3] 19.0000-20.0000 sec  4.50 MBytes  37.7 Mbits/sec  36/0         90      477K/115546 us  40.84
[  3] 20.0000-21.0000 sec  5.62 MBytes  47.2 Mbits/sec  45/0        361      410K/92388 us  63.84
[  3] 21.0000-22.0000 sec  6.88 MBytes  57.7 Mbits/sec  55/0         46      410K/71564 us  100.73
[  3] 22.0000-23.0000 sec  4.12 MBytes  34.6 Mbits/sec  33/0          0      682K/117886 us  36.69
[  3] 23.0000-24.0000 sec  5.50 MBytes  46.1 Mbits/sec  44/0          0      682K/92073 us  62.64
[  3] 24.0000-25.0000 sec  4.12 MBytes  34.6 Mbits/sec  33/0         57      682K/91242 us  47.41
[  3] 25.0000-26.0000 sec  5.38 MBytes  45.1 Mbits/sec  43/0          0      340K/110828 us  50.85
[  3] 26.0000-27.0000 sec  4.62 MBytes  38.8 Mbits/sec  37/0        308      477K/123150 us  39.38
[  3] 27.0000-28.0000 sec  4.12 MBytes  34.6 Mbits/sec  33/0         17      615K/124489 us  34.75
[  3] 28.0000-29.0000 sec  4.38 MBytes  36.7 Mbits/sec  35/0         33      410K/109169 us  42.02
[  3] 29.0000-30.0000 sec  4.25 MBytes  35.7 Mbits/sec  34/0         26      682K/129958 us  34.29
[  3] 0.0000-30.0518 sec   143 MBytes  39.8 Mbits/sec  1141/0       1963       -1K/113744 us  43.75
