------------------------------------------------------------
Client connecting to 10.0.0.3, TCP port 5001 with pid 162876
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.2 port 40266 connected with 10.0.0.3 port 5001 (ct=124.44 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  13.5 MBytes   113 Mbits/sec  108/0          1       24K/93488 us  151.42
[  3] 1.0000-2.0000 sec  14.1 MBytes   118 Mbits/sec  113/0        297     1798K/120528 us  122.44
[  3] 2.0000-3.0000 sec  10.5 MBytes  88.4 Mbits/sec  86/0        217     1315K/91368 us  121.00
[  3] 3.0000-4.0000 sec  10.4 MBytes  87.6 Mbits/sec  84/0          0     1337K/103870 us  105.39
[  3] 4.0000-5.0000 sec  10.2 MBytes  85.5 Mbits/sec  82/0         27     1081K/102395 us  104.36
[  3] 5.0000-6.0000 sec  9.91 MBytes  83.1 Mbits/sec  80/0          0     1402K/100713 us  103.15
[  3] 6.0000-7.0000 sec  10.5 MBytes  88.4 Mbits/sec  86/0         26     1397K/97214 us  113.66
[  3] 7.0000-8.0000 sec  9.78 MBytes  82.1 Mbits/sec  79/0          0     1368K/104577 us  98.08
[  3] 8.0000-9.0000 sec  10.5 MBytes  87.9 Mbits/sec  84/0         33     1405K/97250 us  112.96
[  3] 9.0000-10.0000 sec  9.97 MBytes  83.6 Mbits/sec  80/0          7     1175K/105941 us  98.69
[  3] 10.0000-11.0000 sec  9.11 MBytes  76.4 Mbits/sec  74/0         29     1411K/100391 us  95.11
[  3] 11.0000-12.0000 sec  9.01 MBytes  75.6 Mbits/sec  73/0          0     1365K/74461 us  126.89
[  3] 12.0000-13.0000 sec  10.6 MBytes  88.6 Mbits/sec  86/0          0     1360K/83810 us  132.17
[  3] 13.0000-14.0000 sec  10.6 MBytes  88.6 Mbits/sec  86/0          0     1357K/88701 us  124.88
[  3] 14.0000-15.0000 sec  10.6 MBytes  88.6 Mbits/sec  86/0          0     1360K/95643 us  115.82
[  3] 15.0000-16.0000 sec  10.6 MBytes  88.6 Mbits/sec  86/0          0     1365K/102177 us  108.41
[  3] 16.0000-17.0000 sec  10.6 MBytes  88.6 Mbits/sec  86/0         24     1371K/98487 us  112.47
[  3] 17.0000-18.0000 sec  10.6 MBytes  89.1 Mbits/sec  85/0          0     1397K/104763 us  106.35
[  3] 18.0000-19.0000 sec  10.6 MBytes  88.9 Mbits/sec  85/0         24     1408K/104822 us  106.00
[  3] 19.0000-20.0000 sec  10.5 MBytes  88.1 Mbits/sec  84/0          0     1377K/112609 us  97.77
[  3] 20.0000-21.0000 sec  10.5 MBytes  88.4 Mbits/sec  85/0          0     1377K/118413 us  93.29
[  3] 21.0000-22.0000 sec  7.46 MBytes  62.6 Mbits/sec  61/0         14     1419K/76652 us  102.01
[  3] 22.0000-23.0000 sec  10.6 MBytes  88.6 Mbits/sec  86/0          0     1371K/103314 us  107.22
[  3] 23.0000-24.0000 sec  10.6 MBytes  88.6 Mbits/sec  86/0          0     1368K/100477 us  110.25
[  3] 24.0000-25.0000 sec  10.6 MBytes  88.6 Mbits/sec  86/0          0     1368K/98412 us  112.56
[  3] 25.0000-26.0000 sec  9.94 MBytes  83.4 Mbits/sec  81/0          0     1365K/103216 us  101.01
[  3] 26.0000-27.0000 sec  10.5 MBytes  88.1 Mbits/sec  84/0         22     1145K/105970 us  103.90
[  3] 27.0000-28.0000 sec  10.1 MBytes  84.7 Mbits/sec  81/0          0     1419K/102583 us  103.21
[  3] 28.0000-29.0000 sec  10.6 MBytes  89.1 Mbits/sec  85/0         22     1402K/101884 us  109.35
[  3] 29.0000-30.0000 sec  10.5 MBytes  88.1 Mbits/sec  84/0          0     1388K/103402 us  106.48
[  3] 0.0000-30.1003 sec   313 MBytes  87.3 Mbits/sec  2532/0        743       -1K/99917 us  109.28
