------------------------------------------------------------
Client connecting to 10.0.0.6, TCP port 5000 with pid 162877
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.1 port 36716 connected with 10.0.0.6 port 5000 (ct=127.37 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  4.15 MBytes  34.8 Mbits/sec  34/0          0       28K/100028 us  43.53
[  3] 1.0000-2.0000 sec  2.73 MBytes  22.9 Mbits/sec  23/0        175      202K/85471 us  33.54
[  3] 2.0000-3.0000 sec  1.24 MBytes  10.4 Mbits/sec  10/0         20      121K/85935 us  15.16
[  3] 3.0000-4.0000 sec  1.30 MBytes  10.9 Mbits/sec  11/0          0      132K/102747 us  13.32
[  3] 4.0000-5.0000 sec  1.12 MBytes  9.38 Mbits/sec  10/0          8       97K/104102 us  11.27
[  3] 5.0000-6.0000 sec   509 KBytes  4.17 Mbits/sec  4/0          0      120K/105627 us  4.94
[  3] 6.0000-7.0000 sec  1018 KBytes  8.34 Mbits/sec  9/0          2       89K/102929 us  10.13
[  3] 7.0000-8.0000 sec   954 KBytes  7.82 Mbits/sec  8/0          0      100K/106007 us  9.22
[  3] 8.0000-9.0000 sec   827 KBytes  6.78 Mbits/sec  7/0          4       79K/104100 us  8.14
[  3] 9.0000-10.0000 sec   827 KBytes  6.78 Mbits/sec  7/0          0       94K/110925 us  7.64
[  3] 10.0000-11.0000 sec   891 KBytes  7.30 Mbits/sec  7/0          2       74K/104474 us  8.73
[  3] 11.0000-12.0000 sec  1.06 MBytes  8.86 Mbits/sec  9/0          0       83K/78556 us  14.10
[  3] 12.0000-13.0000 sec  1018 KBytes  8.34 Mbits/sec  8/0          0       90K/87170 us  11.96
[  3] 13.0000-14.0000 sec  1.06 MBytes  8.86 Mbits/sec  9/0          0       98K/91177 us  12.15
[  3] 14.0000-15.0000 sec  1.06 MBytes  8.86 Mbits/sec  9/0          0      106K/99053 us  11.18
[  3] 15.0000-16.0000 sec  1.06 MBytes  8.86 Mbits/sec  9/0          0      114K/107265 us  10.33
[  3] 16.0000-17.0000 sec   954 KBytes  7.82 Mbits/sec  8/0          6       87K/99928 us  9.78
[  3] 17.0000-18.0000 sec   891 KBytes  7.30 Mbits/sec  8/0          0      107K/111772 us  8.16
[  3] 18.0000-19.0000 sec   827 KBytes  6.78 Mbits/sec  7/0          3       86K/105573 us  8.02
[  3] 19.0000-20.0000 sec   827 KBytes  6.78 Mbits/sec  7/0          0       90K/108217 us  7.83
[  3] 20.0000-21.0000 sec   827 KBytes  6.78 Mbits/sec  7/0          2       65K/110583 us  7.66
[  3] 21.0000-22.0000 sec  1.06 MBytes  8.86 Mbits/sec  9/0          0       83K/73746 us  15.02
[  3] 22.0000-23.0000 sec   954 KBytes  7.82 Mbits/sec  8/0          0       91K/92781 us  10.53
[  3] 23.0000-24.0000 sec   954 KBytes  7.82 Mbits/sec  8/0          0       93K/97841 us  9.99
[  3] 24.0000-25.0000 sec   954 KBytes  7.82 Mbits/sec  8/0          0       97K/103296 us  9.46
[  3] 25.0000-26.0000 sec   954 KBytes  7.82 Mbits/sec  8/0          0      104K/106655 us  9.16
[  3] 26.0000-27.0000 sec   445 KBytes  3.65 Mbits/sec  4/0         10       79K/103068 us  4.43
[  3] 27.0000-28.0000 sec   827 KBytes  6.78 Mbits/sec  7/0          0       90K/103366 us  8.19
[  3] 28.0000-29.0000 sec   764 KBytes  6.26 Mbits/sec  6/0          4       72K/106818 us  7.32
[  3] 29.0000-30.0000 sec   764 KBytes  6.26 Mbits/sec  6/0          0       82K/111541 us  7.01
[  3] 0.0000-30.0873 sec  32.4 MBytes  9.04 Mbits/sec  275/0        236       -1K/100358 us  11.26
