------------------------------------------------------------
Client connecting to 10.0.0.6, TCP port 5000 with pid 168480
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.1 port 37812 connected with 10.0.0.6 port 5000 (ct=126.59 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  11.9 MBytes  99.6 Mbits/sec  95/0          1       24K/94656 us  131.55
[  3] 1.0000-2.0000 sec  13.4 MBytes   112 Mbits/sec  108/0        149     1272K/133628 us  104.95
[  3] 2.0000-3.0000 sec  6.52 MBytes  54.7 Mbits/sec  53/0        164     1317K/125445 us  54.54
[  3] 3.0000-4.0000 sec  7.58 MBytes  63.6 Mbits/sec  61/0        607     1081K/128043 us  62.08
[  3] 4.0000-5.0000 sec  6.59 MBytes  55.3 Mbits/sec  54/0        282     1136K/113331 us  60.95
[  3] 5.0000-6.0000 sec  7.27 MBytes  61.0 Mbits/sec  59/0        260     1042K/139826 us  54.52
[  3] 6.0000-7.0000 sec  7.71 MBytes  64.6 Mbits/sec  62/0        206     1152K/145619 us  55.49
[  3] 7.0000-8.0000 sec  7.77 MBytes  65.2 Mbits/sec  63/0        547     1080K/118205 us  68.91
[  3] 8.0000-9.0000 sec  7.95 MBytes  66.7 Mbits/sec  65/0        152     1173K/112439 us  74.18
[  3] 9.0000-10.0000 sec  2.86 MBytes  24.0 Mbits/sec  23/0        382     1170K/110684 us  27.08
[  3] 10.0000-11.0000 sec  7.02 MBytes  58.9 Mbits/sec  57/0         67     1039K/136241 us  54.04
[  3] 11.0000-12.0000 sec  8.20 MBytes  68.8 Mbits/sec  67/0        234     1122K/128693 us  66.83
[  3] 12.0000-13.0000 sec  4.54 MBytes  38.1 Mbits/sec  37/0        225        5K/148037 us  32.13
[  3] 13.0000-14.0000 sec  6.28 MBytes  52.6 Mbits/sec  51/0         20     1026K/158260 us  41.58
[  3] 14.0000-15.0000 sec  6.71 MBytes  56.3 Mbits/sec  55/0        161     1040K/115484 us  60.94
[  3] 15.0000-16.0000 sec  6.46 MBytes  54.2 Mbits/sec  53/0         79      880K/128768 us  52.63
[  3] 16.0000-17.0000 sec  6.52 MBytes  54.7 Mbits/sec  53/0         81      967K/135856 us  50.36
[  3] 17.0000-18.0000 sec  6.77 MBytes  56.8 Mbits/sec  55/0         31     1097K/128222 us  55.39
[  3] 18.0000-19.0000 sec  6.71 MBytes  56.3 Mbits/sec  54/0        163     1100K/131586 us  53.48
[  3] 19.0000-20.0000 sec  6.46 MBytes  54.2 Mbits/sec  53/0        121     1049K/124668 us  54.36
[  3] 20.0000-21.0000 sec  7.52 MBytes  63.1 Mbits/sec  61/0        236     1046K/117248 us  67.25
[  3] 21.0000-22.0000 sec  6.03 MBytes  50.6 Mbits/sec  49/0        159     1063K/136232 us  46.40
[  3] 22.0000-23.0000 sec  6.28 MBytes  52.6 Mbits/sec  51/0        228     1142K/141063 us  46.65
[  3] 23.0000-24.0000 sec  6.28 MBytes  52.6 Mbits/sec  51/0        104      950K/124200 us  52.99
[  3] 24.0000-25.0000 sec  6.34 MBytes  53.2 Mbits/sec  52/0         95     1012K/131922 us  50.38
[  3] 25.0000-26.0000 sec  7.08 MBytes  59.4 Mbits/sec  58/0        208     1097K/111091 us  66.87
[  3] 26.0000-27.0000 sec  6.52 MBytes  54.7 Mbits/sec  53/0          0     1173K/149161 us  45.87
[  3] 27.0000-28.0000 sec  8.14 MBytes  68.3 Mbits/sec  66/0        125     1117K/157802 us  54.09
[  3] 28.0000-29.0000 sec  5.72 MBytes  48.0 Mbits/sec  47/0        197     1165K/140177 us  42.77
[  3] 29.0000-30.0000 sec  8.33 MBytes  69.9 Mbits/sec  67/0        285     1117K/130593 us  66.86
[  3] 0.0000-30.4891 sec   213 MBytes  58.7 Mbits/sec  1733/0       5569       -1K/129906 us  56.50
