------------------------------------------------------------
Client connecting to 10.0.0.3, TCP port 5001 with pid 168482
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.2 port 41366 connected with 10.0.0.3 port 5001 (ct=124.32 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  7.75 MBytes  65.0 Mbits/sec  62/0          0       28K/103363 us  78.62
[  3] 1.0000-2.0000 sec  3.38 MBytes  28.3 Mbits/sec  27/0         82      296K/85152 us  41.56
[  3] 2.0000-3.0000 sec  3.20 MBytes  26.8 Mbits/sec  26/0         41      227K/62398 us  53.71
[  3] 3.0000-4.0000 sec  5.00 MBytes  41.9 Mbits/sec  40/0          0      251K/72165 us  72.65
[  3] 4.0000-5.0000 sec  3.38 MBytes  28.3 Mbits/sec  27/0          0      268K/77233 us  45.82
[  3] 5.0000-6.0000 sec  3.38 MBytes  28.3 Mbits/sec  27/0          0      271K/73509 us  48.14
[  3] 6.0000-7.0000 sec  3.38 MBytes  28.3 Mbits/sec  27/0          0      271K/75655 us  46.78
[  3] 7.0000-8.0000 sec  3.38 MBytes  28.3 Mbits/sec  27/0          0      277K/74292 us  47.64
[  3] 8.0000-9.0000 sec  5.00 MBytes  41.9 Mbits/sec  40/0          0      287K/70370 us  74.50
[  3] 9.0000-10.0000 sec  3.38 MBytes  28.3 Mbits/sec  27/0          0      299K/69815 us  50.69
[  3] 10.0000-11.0000 sec  3.38 MBytes  28.3 Mbits/sec  27/0          0      308K/82219 us  43.04
[  3] 11.0000-12.0000 sec  5.00 MBytes  41.9 Mbits/sec  40/0          0      332K/81459 us  64.36
[  3] 12.0000-13.0000 sec  5.00 MBytes  41.9 Mbits/sec  40/0          0      386K/60317 us  86.92
[  3] 13.0000-14.0000 sec  5.00 MBytes  41.9 Mbits/sec  40/0         15      309K/73969 us  70.88
[  3] 14.0000-15.0000 sec  5.12 MBytes  43.0 Mbits/sec  41/0          0      366K/75041 us  71.61
[  3] 15.0000-16.0000 sec  5.00 MBytes  41.9 Mbits/sec  40/0          0      403K/77028 us  68.06
[  3] 16.0000-17.0000 sec  3.38 MBytes  28.3 Mbits/sec  27/0          3      422K/83864 us  42.20
[  3] 17.0000-18.0000 sec  5.38 MBytes  45.1 Mbits/sec  43/0          3      299K/87884 us  64.13
[  3] 18.0000-19.0000 sec  5.12 MBytes  43.0 Mbits/sec  41/0          0      357K/71626 us  75.03
[  3] 19.0000-20.0000 sec  3.38 MBytes  28.3 Mbits/sec  27/0          0      395K/87946 us  40.24
[  3] 20.0000-21.0000 sec  5.00 MBytes  41.9 Mbits/sec  40/0         18      298K/68635 us  76.39
[  3] 21.0000-22.0000 sec  3.38 MBytes  28.3 Mbits/sec  27/0          0      325K/80601 us  43.91
[  3] 22.0000-23.0000 sec  5.00 MBytes  41.9 Mbits/sec  40/0          0      333K/74893 us  70.00
[  3] 23.0000-24.0000 sec  5.00 MBytes  41.9 Mbits/sec  40/0          0      337K/77897 us  67.31
[  3] 24.0000-25.0000 sec  5.00 MBytes  41.9 Mbits/sec  40/0          0      337K/75276 us  69.65
[  3] 25.0000-26.0000 sec  3.38 MBytes  28.3 Mbits/sec  27/0          0      339K/69060 us  51.24
[  3] 26.0000-27.0000 sec  5.12 MBytes  43.0 Mbits/sec  41/0          0      346K/85156 us  63.11
[  3] 27.0000-28.0000 sec  3.25 MBytes  27.3 Mbits/sec  26/0          0      357K/88226 us  38.63
[  3] 28.0000-29.0000 sec  5.12 MBytes  43.0 Mbits/sec  41/0          0      371K/90134 us  59.62
[  3] 29.0000-30.0000 sec  3.38 MBytes  28.3 Mbits/sec  27/0          9      302K/72471 us  48.83
[  3] 0.0000-30.1591 sec   131 MBytes  36.3 Mbits/sec  1045/0        171       -1K/77588 us  58.51
