------------------------------------------------------------
Client connecting to 10.0.0.5, TCP port 5002 with pid 167645
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.4 port 41622 connected with 10.0.0.5 port 5002 (ct=124.74 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  16.4 MBytes   137 Mbits/sec  131/0          0       28K/93495 us  183.65
[  3] 1.0000-2.0000 sec  10.2 MBytes  85.5 Mbits/sec  83/0          0     1746K/181441 us  58.93
[  3] 2.0000-3.0000 sec  8.26 MBytes  69.3 Mbits/sec  67/0        106     1343K/111025 us  78.06
[  3] 3.0000-4.0000 sec  8.02 MBytes  67.2 Mbits/sec  65/0        433     1292K/116924 us  71.89
[  3] 4.0000-5.0000 sec  8.45 MBytes  70.9 Mbits/sec  69/0        348     1230K/113155 us  78.32
[  3] 5.0000-6.0000 sec  8.82 MBytes  74.0 Mbits/sec  71/0        339     1264K/121484 us  76.16
[  3] 6.0000-7.0000 sec  6.84 MBytes  57.3 Mbits/sec  56/0        396     1255K/129740 us  55.25
[  3] 7.0000-8.0000 sec  8.95 MBytes  75.1 Mbits/sec  73/0        528     1196K/114596 us  81.88
[  3] 8.0000-9.0000 sec  8.45 MBytes  70.9 Mbits/sec  69/0        369     1213K/124475 us  71.19
[  3] 9.0000-10.0000 sec  8.89 MBytes  74.5 Mbits/sec  72/0        396     1119K/140676 us  66.24
[  3] 10.0000-11.0000 sec  7.95 MBytes  66.7 Mbits/sec  65/0        425     1196K/113978 us  73.18
[  3] 11.0000-12.0000 sec  7.39 MBytes  62.0 Mbits/sec  60/0        178     1151K/104423 us  74.26
[  3] 12.0000-13.0000 sec  6.65 MBytes  55.8 Mbits/sec  54/0        137     1001K/99678 us  69.95
[  3] 13.0000-14.0000 sec  7.77 MBytes  65.2 Mbits/sec  63/0         36     1083K/124162 us  65.60
[  3] 14.0000-15.0000 sec  7.58 MBytes  63.6 Mbits/sec  61/0         49     1165K/118646 us  67.00
[  3] 15.0000-16.0000 sec  7.71 MBytes  64.6 Mbits/sec  63/0        144     1187K/119526 us  67.60
[  3] 16.0000-17.0000 sec  8.14 MBytes  68.3 Mbits/sec  66/0        280     1179K/114949 us  74.26
[  3] 17.0000-18.0000 sec  9.07 MBytes  76.1 Mbits/sec  74/0        269     1207K/115012 us  82.72
[  3] 18.0000-19.0000 sec  8.33 MBytes  69.9 Mbits/sec  67/0        255     1187K/112360 us  77.71
[  3] 19.0000-20.0000 sec  7.21 MBytes  60.5 Mbits/sec  59/0        263     1193K/108693 us  69.54
[  3] 20.0000-21.0000 sec  8.89 MBytes  74.5 Mbits/sec  72/0        166     1258K/131341 us  70.94
[  3] 21.0000-22.0000 sec  7.95 MBytes  66.7 Mbits/sec  64/0        467     1142K/124359 us  67.07
[  3] 22.0000-23.0000 sec  2.49 MBytes  20.9 Mbits/sec  20/0        194     1125K/62657 us  41.60
[  3] 23.0000-24.0000 sec  6.84 MBytes  57.3 Mbits/sec  56/0         33     1025K/128718 us  55.68
[  3] 24.0000-25.0000 sec  7.89 MBytes  66.2 Mbits/sec  64/0        193     1023K/120100 us  68.90
[  3] 25.0000-26.0000 sec  8.76 MBytes  73.5 Mbits/sec  71/0        118     1264K/127041 us  72.32
[  3] 26.0000-27.0000 sec  7.58 MBytes  63.6 Mbits/sec  61/0        364     1233K/129998 us  61.15
[  3] 27.0000-28.0000 sec  7.89 MBytes  66.2 Mbits/sec  64/0        510     1210K/126503 us  65.42
[  3] 28.0000-29.0000 sec  7.28 MBytes  61.1 Mbits/sec  59/0        527     1098K/120360 us  63.47
[  3] 29.0000-30.0000 sec  8.75 MBytes  73.4 Mbits/sec  71/0        358     1201K/113837 us  80.58
[  3] 0.0000-30.0593 sec   245 MBytes  68.5 Mbits/sec  1990/0       7881       -1K/118778 us  72.06
