------------------------------------------------------------
Client connecting to 10.0.0.6, TCP port 5000 with pid 169258
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.1 port 37892 connected with 10.0.0.6 port 5000 (ct=127.77 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  4.25 MBytes  35.7 Mbits/sec  34/0          0       28K/91102 us  48.92
[  3] 1.0000-2.0000 sec  1.88 MBytes  15.7 Mbits/sec  15/0        123      233K/132224 us  14.87
[  3] 2.0000-3.0000 sec  1.63 MBytes  13.7 Mbits/sec  14/0         76      165K/92093 us  18.58
[  3] 3.0000-4.0000 sec  1.62 MBytes  13.6 Mbits/sec  13/0          0      178K/108413 us  15.63
[  3] 4.0000-5.0000 sec  1.37 MBytes  11.5 Mbits/sec  12/0          2      139K/99416 us  14.42
[  3] 5.0000-6.0000 sec  1.18 MBytes  9.90 Mbits/sec  10/0          8      103K/107085 us  11.56
[  3] 6.0000-7.0000 sec  1.18 MBytes  9.90 Mbits/sec  10/0          0      118K/100190 us  12.36
[  3] 7.0000-8.0000 sec  1.12 MBytes  9.38 Mbits/sec  10/0          0      125K/106928 us  10.97
[  3] 8.0000-9.0000 sec   954 KBytes  7.82 Mbits/sec  8/0          2      103K/104435 us  9.36
[  3] 9.0000-10.0000 sec   891 KBytes  7.30 Mbits/sec  8/0         10       82K/108941 us  8.37
[  3] 10.0000-11.0000 sec   891 KBytes  7.30 Mbits/sec  7/0          0       93K/112047 us  8.14
[  3] 11.0000-12.0000 sec  1018 KBytes  8.34 Mbits/sec  8/0         10       74K/76805 us  13.57
[  3] 12.0000-13.0000 sec   954 KBytes  7.82 Mbits/sec  8/0          0       82K/82746 us  11.81
[  3] 13.0000-14.0000 sec  1018 KBytes  8.34 Mbits/sec  8/0          0       90K/93916 us  11.10
[  3] 14.0000-15.0000 sec   954 KBytes  7.82 Mbits/sec  8/0          0       98K/101080 us  9.67
[  3] 15.0000-16.0000 sec  1018 KBytes  8.34 Mbits/sec  8/0          0      106K/108286 us  9.63
[  3] 16.0000-17.0000 sec   827 KBytes  6.78 Mbits/sec  7/0          7       84K/108809 us  7.79
[  3] 17.0000-18.0000 sec   827 KBytes  6.78 Mbits/sec  7/0          4       87K/109406 us  7.74
[  3] 18.0000-19.0000 sec   764 KBytes  6.26 Mbits/sec  6/0          0       80K/106396 us  7.35
[  3] 19.0000-20.0000 sec   636 KBytes  5.21 Mbits/sec  5/0          2       59K/110379 us  5.90
[  3] 20.0000-21.0000 sec   382 KBytes  3.13 Mbits/sec  3/0          0       76K/109750 us  3.56
[  3] 21.0000-22.0000 sec   827 KBytes  6.78 Mbits/sec  7/0          5       57K/61671 us  13.74
[  3] 22.0000-23.0000 sec   891 KBytes  7.30 Mbits/sec  8/0          0       66K/75807 us  12.03
[  3] 23.0000-24.0000 sec   891 KBytes  7.30 Mbits/sec  8/0          0       76K/83883 us  10.88
[  3] 24.0000-25.0000 sec   891 KBytes  7.30 Mbits/sec  8/0          0       84K/94958 us  9.61
[  3] 25.0000-26.0000 sec   891 KBytes  7.30 Mbits/sec  8/0          0       91K/100243 us  9.10
[  3] 26.0000-27.0000 sec   954 KBytes  7.82 Mbits/sec  8/0          0       98K/106751 us  9.16
[  3] 27.0000-28.0000 sec   891 KBytes  7.30 Mbits/sec  7/0          0      106K/113556 us  8.03
[  3] 28.0000-29.0000 sec   891 KBytes  7.30 Mbits/sec  8/0          2       91K/103578 us  8.81
[  3] 29.0000-30.0000 sec   827 KBytes  6.78 Mbits/sec  7/0          6       72K/110825 us  7.64
[  3] 0.0000-30.2281 sec  32.9 MBytes  9.12 Mbits/sec  278/0        257       -1K/100723 us  11.32
