------------------------------------------------------------
Client connecting to 10.0.0.3, TCP port 5001 with pid 165203
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.2 port 41024 connected with 10.0.0.3 port 5001 (ct=125.02 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  8.62 MBytes  72.4 Mbits/sec  69/0          0      545K/109686 us  82.45
[  3] 1.0000-2.0000 sec  5.38 MBytes  45.1 Mbits/sec  43/0          0      340K/93055 us  60.57
[  3] 2.0000-3.0000 sec  5.50 MBytes  46.1 Mbits/sec  44/0          0      545K/83632 us  68.96
[  3] 3.0000-4.0000 sec  6.88 MBytes  57.7 Mbits/sec  55/0          0      545K/88361 us  81.59
[  3] 4.0000-5.0000 sec  5.38 MBytes  45.1 Mbits/sec  43/0          0      682K/79238 us  71.13
[  3] 5.0000-6.0000 sec  6.88 MBytes  57.7 Mbits/sec  55/0          0      545K/78346 us  92.01
[  3] 6.0000-7.0000 sec  5.50 MBytes  46.1 Mbits/sec  44/0          0      545K/92803 us  62.14
[  3] 7.0000-8.0000 sec  6.88 MBytes  57.7 Mbits/sec  55/0          0      615K/72853 us  98.95
[  3] 8.0000-9.0000 sec  5.38 MBytes  45.1 Mbits/sec  43/0          0      410K/83862 us  67.21
[  3] 9.0000-10.0000 sec  6.88 MBytes  57.7 Mbits/sec  55/0          0      682K/80929 us  89.08
[  3] 10.0000-11.0000 sec  6.88 MBytes  57.7 Mbits/sec  55/0          0      410K/77065 us  93.54
[  3] 11.0000-12.0000 sec  5.38 MBytes  45.1 Mbits/sec  43/0          0      410K/82713 us  68.14
[  3] 12.0000-13.0000 sec  6.88 MBytes  57.7 Mbits/sec  55/0          0      682K/98113 us  73.48
[  3] 13.0000-14.0000 sec  5.50 MBytes  46.1 Mbits/sec  44/0          0      682K/72228 us  79.85
[  3] 14.0000-15.0000 sec  6.88 MBytes  57.7 Mbits/sec  55/0          0      682K/95050 us  75.84
[  3] 15.0000-16.0000 sec  5.38 MBytes  45.1 Mbits/sec  43/0          0      545K/92104 us  61.19
[  3] 16.0000-17.0000 sec  6.88 MBytes  57.7 Mbits/sec  55/0          0      410K/82873 us  86.99
[  3] 17.0000-18.0000 sec  5.50 MBytes  46.1 Mbits/sec  44/0          0      477K/85457 us  67.49
[  3] 18.0000-19.0000 sec  6.75 MBytes  56.6 Mbits/sec  54/0          0      340K/91732 us  77.16
[  3] 19.0000-20.0000 sec  6.88 MBytes  57.7 Mbits/sec  55/0          0      682K/82693 us  87.18
[  3] 20.0000-21.0000 sec  5.50 MBytes  46.1 Mbits/sec  44/0          0      682K/99790 us  57.79
[  3] 21.0000-22.0000 sec  6.88 MBytes  57.7 Mbits/sec  55/0          0      410K/96567 us  74.65
[  3] 22.0000-23.0000 sec  6.75 MBytes  56.6 Mbits/sec  54/0          0      545K/94818 us  74.65
[  3] 23.0000-24.0000 sec  5.50 MBytes  46.1 Mbits/sec  44/0          0      682K/80618 us  71.54
[  3] 24.0000-25.0000 sec  6.88 MBytes  57.7 Mbits/sec  55/0          0      615K/89120 us  80.89
[  3] 25.0000-26.0000 sec  6.75 MBytes  56.6 Mbits/sec  54/0          0      682K/98844 us  71.61
[  3] 26.0000-27.0000 sec  6.88 MBytes  57.7 Mbits/sec  55/0          0      682K/93459 us  77.14
[  3] 27.0000-28.0000 sec  6.88 MBytes  57.7 Mbits/sec  55/0          0      545K/79231 us  90.99
[  3] 28.0000-29.0000 sec  6.75 MBytes  56.6 Mbits/sec  54/0          0      682K/93270 us  75.89
[  3] 29.0000-30.0000 sec  5.50 MBytes  46.1 Mbits/sec  44/0          0      615K/96334 us  59.87
[  3] 0.0000-30.0011 sec   190 MBytes  53.2 Mbits/sec  1523/0          0       -1K/88161 us  75.47
